Input,Output
lasbin,bilasbin
cefezobe,cefezone
azifrd,azifed
claben,claven
cytobac,cytonac
apodoxije,apodoxime
becam,becamox
admetrral,admetral
alsyine,alshine
stormate,atormate
calvoxy,clavoxy
brivwfix,brivafix
crisfel,cristel
benmpx,benmox
aborvawt,aborvast
cltac,cotac
apor,alor
etsy,betsy
tigesic,artigesic
ripro,dipro
cartimett,cartimet
blisnax,blisnac
ascochhew,ascochew
croakofff,croakoff
aangipin,angipin
alepld,alepod
aveetryp,avetryp
chloroxazone,chlorzoxazone
clqrill,clarill
wptitrust,aptitrust
codybec,codybex
ilapress,cilapress
contal,confal
cufftec,cuftec
bugatas,bufatas
carcca,carca
ckptech,ciptech
brhexiv,brohexiv
cefyrocidal,cefurocidal
clavmoxh,clavmoxy
anitrup,anitryp
cipu,cipi
aplsef,allsef
cinnaemg,cinnameg
azdaual,azadual
cefoemd,cefomed
ariprazzole,ariprazole
bropgylin,brophylin
brimofne,brimofine
cefgen,cefogen
albacoss,albacos
anopram,anzopram
bilpargic,billargic
dinkst,dinost
brimocm,brimocom
cfizex,cefizex
augmedd,augmed
cereklqs,cereklas
cegrazyn,cetrazyn
bledef,blecef
bjopic,biopic
alanel,alangel
biodehol,biodebol
azaual,azadual
decood,decold
aclonat,aclobat
betahiet,betahist
bioxan,biocan
comblox,combilox
alcicet,alvicet
cefie,cefid
fliv,cofliv
combibam,combinam
criace,critace
qsgrel,asgrel
antibs,antiba
avriban,acriban
cidlasy,cidlast
qcnetoin,acnetoin
cbemogef,chemogef
acicid,avicid
ebntor,bentor
comgunex,combunex
benzyaine,benzyzine
axinist,azinist
ajoxsyn,amoxsyn
altogset,altogest
omox,biomox
cciprolyn,ciprolyn
cpsan,capsan
banwlrm,banworm
crrmagel,cremagel
alphamjx,alphamix
carvedla,carvedka
blasoft,bilasoft
bamyol,baymol
xourish,courish
alprlui,alpruli
aribz,ariba
aggrso,aggreso
doamet,diamet
aquatrl,aquatel
clinnper,clinper
zchfri,achfri
cefpovc,cefpovec
calbrkt,calbrit
biify,bify
albubett,albubet
acicure,acicute
acenum,acenim
astiibet,astibet
avaxan,avacan
asspofag,aspofag
calzef,calzed
coromsz,coromez
asedde,awedde
zxipan,axipan
cloofusic,clofusic
euopep,duopep
cciticolix,citicolix
curenn,curenin
amllvoiz,amlovoiz
abiraatas,abiratas
acedor,acecor
clopmes,clopmee
csfuronat,cefuronat
xbact,coxbact
axonic,azonic
abma,abmac
clindrlela,clindrella
azitoocin,azitocin
cycclomol,cyclomol
cypqtec,cypatec
cojbidos,combidos
beltica,belrica
axinoel,azinoel
bactacarre,bactacare
bilmus,biomus
acctnim,actnim
actiz,actizer
coldnax,coldmax
bisacoolax,bisacolax
athodetm,athoderm
amglo,asmglo
amene,amend
cpyogix,cypogix
aldo,aldro
cszof,cezof
daslodepine,caslodepine
benulife,benulide
buderm,bugderm
betnvate,betnovate
bromidyne,bromodyne
ecyp,becyp
uloc,buloc
cinic,cimnic
sibucaine,dibucaine
alresst,alrest
ccefstyx,cefstyx
celeotp,celetop
ceridat,cefidat
amsan,amisan
aatorosung,atorosung
catatly,catafly
cucedt,cuceft
atbace,athace
sorbitool,sorbitol
clarimomt,clarimont
ccedoc,cedoc
nilazed,bilazed
ciorosyn,ciprosyn
broomed,bromed
axphylin,asphylin
ifomax,cifomax
axaacip,axacip
colsce,colace
amisunlix,amisulnix
qrbol,arbol
avenflav,avenclav
boorkuf,borkuf
dexadort,dexacort
dnlafax,denlafax
cenntchroman,centchroman
azihtree,azithree
cilatp,cilatop
cymgl,cymgal
blovkcid,blockcid
maias,amias
ateoyard,atroyard
cadipure,cardipure
naticold,anticold
candiwsr,candiwar
dovudine,zidovudine
citzwn,citzen
ntab,antab
feftirox,ceftirox
clindofsst,clindofast
atasor,atazor
aljkg,aljog
avujont,avujoint
wmpia,ampia
bifenaac,bifenac
bivma,bigma
itel,britel
azijef,azijet
lvost,alvost
arttoss,artetoss
maodok,amodok
catcdi,catcid
cyprom,cypromax
attisai,artisai
cplan,cyplan
colthsr,colther
cepuen,cephen
beclpman,becloman
avilonaac,avilonac
broc,ambroc
angwiell,angiwell
avugesix,avugesic
alnro,alnor
brinzagna,brinzagan
cyjbalta,cymbalta
cilnyech,cilnytech
zimount,azimount
belmycetone,belmycetine
diptawe,diptase
auzclaf,auzclav
zlom,alom
vognione,cognione
bpsar,bpstar
bioitrwmed,bioitramed
cloptov,clopitov
cobyzak,cobyzam
ciif,cifi
abehz,abenz
cavilect,clavilect
arcut,arcuf
brelene,brexlene
datrisol,catrisol
citic,citicoz
betnwcip,betnecip
boac,borac
kefoconazole,ketoconazole
aeolyte,arolyte
detq,cetq
abonmi,abonim
apyiwell,aptiwell
alfocet,alcocet
ciilac,cifilac
aeqiizole,aequizole
conafuung,conafung
clavoxpne,clavoxone
alcaein,alcadin
ablodyne,albodyne
bevatqs,bevatas
broma,bromax
aklomore,amlomore
anzioket,anziolet
afdlav,afclav
chhifnir,chifnir
apsiure,apisure
alffuflo,alfuflo
bivastatt,bivastat
cefivvap,cefivap
apfuflo,alfuflo
carivon,caprivon
congstyl,congestyl
cebtaflox,centaflox
duosrue,duosure
ajkt,ajit
azzimycin,azimycin
cilinsafe,cilnisafe
ampacee,ampace
creaee,creamee
zuxib,auxib
biofixn,biofixon
betaorg,betaborg
cefpovsc,cefpovec
drrogyna,drogyna
buspittor,buspitor
cihcoside,chicoside
dilrolite,diprolite
ciprofoox,ciprofox
biopipef,biopiper
cjprostat,ciprostat
mditaz,amditaz
zquazide,aquazide
clocibioyic,clocibiotic
amanrtel,amantrel
rathodia,arthodia
vrivalex,brivalex
anlac,alnac
carink,carnik
dciamol,dicamol
cyypmalt,cypmalt
caarlymox,carlymox
besstor,bestor
aciex,acirex
acyirex,actirex
alprhli,alpruli
avtoxub,avtoxib
bedklo,becklo
aaikure,azikure
aurorec,aurodec
anxim,anximat
avidoc,avidox
azrtivib,aztrivib
aleon,aldon
ebatanxi,beatanxi
caneesten,canesten
aidox,afidox
aqcer,aqcef
breem,breemax
ancylor,anchlor
augmax,augumax
tritop,cetritop
aelxik,aelxim
aidoxel,axidoxel
amlltin,amlotin
bazicin,bazucin
achwnix,achenix
aclof,amclof
lafutixine,lafutidine
apviprox,alviprox
nocide,benocide
cilday,colday
clinddanir,clindanir
ausigin,auxigin
ccinjoy,cinjoy
chloropamqzine,chloropamazine
azriay,aziray
tibro,actibro
drofivent,crofivent
cyxolite,cycolite
zccemol,accemol
vaildaz,avildaz
cofnoxyn,cognoxyn
alpahvog,alphavog
clopicir,clopicor
cepoem,cepodem
xandease,candease
cdfipam,cefipam
doxtab,doxytab
wrloc,arloc
auribadt,auribact
varocip,barocip
torless,atorless
linza,clinza
avsiia,asviia
axxonate,axonate
bileix,bilefix
broneex,bronex
amriz,amroz
corrlip,corlip
maoxylla,amoxylla
cloanxir,cloanxit
aelvo,aelevo
arbiitus,arbitus
potex,depotex
atxrox,atdrox
belocin,bepocin
allerrmet,allermet
colstat,clostat
clominexx,clominex
alobid,amlobid
clobial,clobisal
cqrnipil,carnipil
darzaleex,darzalex
apttrocit,aptrocit
aainew,azinew
avogrwn,avogran
azibozs,aziboss
dazclav,adzclav
chymodorpsyn,chymodropsyn
chrommotop,chromotop
desmopdessin,desmopressin
clavobdrg,clavoberg
afipod,aripod
conjumec,conjumed
becozop,becozol
aamifine,amifine
amoxyejt,amoxyjet
amfizz,amfiza
cacrob,cadrob
amikot,amilot
combiotiic,combiotic
brtaweb,betaweb
cefofer,cedofer
aclodop,aclodol
cellfose,cellrose
avol,avzol
albend,albendol
borvkz,borviz
aziclif,azicliff
amiforf,amiford
amotant,amitant
cuzert,cusert
larflam,alarflam
dedmiked,dermiked
almorite,amlorite
cloonopam,clonopam
amikcaid,amikacid
apof,apod
coaross,cobaross
thin,asthin
barsllone,barsolone
refza,defza
cott,cort
aceredn,acereen
acnekak,acnelak
alledcet,allercet
halboetasol,halobetasol
homatropie,homatropine
flanz,clanz
azido,azidon
aeltarm,aeltram
accipant,acipant
ceftoiv,ceftoliv
cidazols,cidazole
bdonclean,bronclean
coniycp,conicyp
castmo,castom
dolopllus,doloplus
xortor,cortor
ciprleb,ciproleb
aepod,alepod
appitimw,appitime
azihe,azihex
sldosh,aldosh
clain,clawin
rbasure,carbasure
bettazole,betazole
clavugood,clavigood
buxori,bixori
amyaen,amyzen
atrppic,atropic
anzatricc,anzatric
busylfan,busulfan
adickff,adicoff
chlorfluhdx,chlorfluhex
diboxin,digoxin
crfurixo,cefurixo
azyshor,azyshot
asmitine,admitine
cpavsit,clavsit
assetron,asetron
axjlev,axilev
sbiros,abiros
cefitetm,cefiterm
avfold,avcold
beprids,bepride
ceprisate,ceprosate
amialan,amislan
biigat,biogat
arpizlo,arpizol
respas,carespas
adycin,admycin
ackril,aciril
bwemox,beemox
cilsat,cilstat
brak,brakke
ampicloxxin,ampicloxin
aziion,azion
corciit,corciti
amixet,amicet
asthafreat,asthagreat
baomox,abomox
ammicline,amicline
cyomid,cytomid
axihac,axinac
biocntex,biocantex
bestamlk,bestamlo
cefllis,ceflis
clktide,clotide
cllobesol,clobesol
maoxmyn,amoxmyn
azigl,azigli
cefsi,cefxi
cyroliq,cyproliq
cojicyp,conicyp
flavoheal,clavoheal
alivon,aliveon
ccepex,cepex
aixotem,axiotem
cjliv,culiv
felfy,celfy
cyetina,cystina
betinw,betine
cycclopent,cyclopent
qnxilor,anxilor
alpprest,alprest
qzopet,azopet
aarcod,aarcof
clinaxpax,clonaxpax
apptro,appitro
camturbo,canturbo
viroxine,ciroxine
acrhelp,acehelp
azxu,azux
cezip,cezipod
abkcort,abicort
cefovauly,cefovault
cpono,clono
apkal,alkal
cefporrex,cefporex
rbix,brix
aoor,alor
amocipac,amocilac
cebzonw,cebzone
amirox,amirod
brjflam,briflam
trazdoone,trazodone
cilaxtet,cilaxter
clpbetamos,clobetamos
mfan,camfan
clodfnic,cloffnic
cephwlex,cephalex
azic,azicul
apodoxkme,apodoxime
baviz,baciz
amdobex,amdonex
srkazid,arkazid
aigprime,augprime
ckasprin,clasprin
anavent,ainavent
befaphen,betaphen
amshmax,amsumax
aamlosalt,amlosalt
alrocam,alprocam
laenzer,alenzer
amidulan,anidulan
xefdimits,cefdimits
cefogllare,cefoglare
qltamet,altamet
axmecob,asmecob
corromine,cortomine
aarckm,aarcim
artipar,artiparam
acigeic,acigesic
aquajide,aquamide
gimeracl,gimeracil
atovvib,atovib
aptitust,aptitrust
acefijity,acefinity
lisur,colisur
cypokin,cypolin
vipnac,cipnac
cinbib,cinbig
klomax,aklomax
clustarm,clistarm
ausf,ausflu
bvigro,bvigor
bycef,bycet
djfidox,difidox
cllben,cloben
cfxaa,cfxaz
clace,colace
cylrodiv,cyprodiv
brinko,bronko
brldex,brodex
frxofenadine,fexofenadine
cyytomustine,cytomustine
baroxyl,abroxyl
crlmofer,cromofer
stofyline,bestofyline
acicaz,aciclaz
broerx,brorex
clymmist,clymist
agnospas,atnospas
aacrecet,acrecet
ascvoit,ascovit
axikkol,axikool
caremk,caremik
aceo,acep
azyin,azycin
arropann,arropan
axpaban,apxaban
cusvia,cysvia
amlod,amlodus
buvlor,buvalor
cifrox,acifrox
alurid,aluric
hroxy,broxy
citritto,citrito
abingemm,abingem
asiflpx,asiflox
agocep,agodep
omet,asomet
cjek,chek
coliged,coligex
amknig,amking
aziibru,azibru
cefjus,cefnus
fanus,canus
apodroot,apodrot
cmoixn,cmoxin
curoke,curome
aldacce,aldace
chlorohexikal,chlorohexijal
cafprol,cadprol
amigopd,amigold
xitabol,citabol
azzoact,azoact
aziwhold,aziwhole
cystin,cystina
cyprostronng,cyprostrong
citieoline,citisoline
azocum,alzocum
amispe,amispeed
cedporox,cefporox
aspocen,aspofen
apida,apidra
azoin,azocin
azifhem,azichem
cetpaam,cetapam
amiide,amixide
pdressin,dpressin
flavamed,clavamed
artip,artil
axud,axus
arkmet,arkamet
bwcoril,becoril
bapoxef,bapocef
zxetel,axetel
anidrool,anidrol
brommex,bromex
allerak,allermak
agilad,agilax
bioci,biocin
cefcln,cefclan
ceifvoiz,cefivoiz
irab,asirab
cedoxtl,cedoxyl
xefisa,cefisa
ilopsridone,iloperidone
asodormin,asoformin
megestroo,megestrol
comcapsyy,comcapsy
breathhair,breathair
qlnaros,alnaros
chpromk,cypromk
cygesy,cygest
emlitracen,melitracen
cefidaat,cefidat
adcort,arcort
vaccjne,vaccine
betzaine,betazine
blosvae,blosave
cameglim,acmeglim
bptzn,bptan
creslil,creslip
mapin,ampin
aziaat,aziast
betaspass,betaspas
amllgen,amlogen
avmoox,avmox
cicitr,cicitri
cetdizen,cetrizen
bslgyl,balgyl
arcooxia,arocoxia
dhymaze,chymaze
broomhez,broomhex
cetrizinw,cetrizine
azismitth,azismith
alovoxxa,alovoxa
alcec,aldec
arafon,aravon
cips,cipsin
alkatik,alkarik
calsprat,calspray
dutalva,dutalfa
betaaell,betawell
candigessic,candigesic
curillo,curilol
cytarammax,cytaramax
xiprotox,ciprotox
alcecllo,alceclo
zzhal,azhal
amcil,acmil
briolitd,briolite
axcfe,axcve
azifek,azifem
anvzen,amvzen
azeewahh,azeewah
axod,axof
alernik,alernil
acexare,acecare
arislo,arisol
eknil,aeknil
clearafne,clearacne
amorkk,amorik
azidurr,azidure
aels,aelsun
cefaloz,cetaloz
aocilox,alcilox
acidalee,acidale
rvizena,carvizena
axicralff,axicralf
azlfit,azofit
candiral,canditral
boodoxi,biodoxi
bilalofe,bilalife
artesine,artedine
cirtovis,cortovis
bacroclav,bactoclav
bisaczd,bisacad
qauazaar,aquazaar
aamputum,amputum
aadyclag,aadyclav
cefzin,cefzon
cilintab,cilnitab
dsorollen,dsorolen
anrz,anriz
camflxom,camfloxm
citulice,citilice
qguclave,aguclave
everopimus,everolimus
ciprolix,ciprolic
ceftriol,ceftirol
ayjcef,ayucef
cindiclox,cindiflox
cleveetin,clevertin
anteon,antron
colffienz,coldfienz
acooit,acokit
cupab,cupan
znicold,anicold
chemckld,chemcold
azquest,aziquest
wfcon,afcon
srgipress,argipress
csviter,caviter
aacebert,acebert
amlak,amlam
loastatin,lovastatin
betnex,betanex
beomelain,bromelain
alkacif,alkacit
azeffil,azefil
aifenaf,aifenac
vlisto,blisto
wgmitra,agmitra
cixjod,cixmod
ciproab,ciprojab
barriax,bartriax
clonaderm,clobaderm
axriplus,adriplus
ceftia,cefria
coliksm,colikem
alboxyne,albodyne
bzctopace,bactopace
credvatte,credvate
azymkae,azymake
cetfrik,ceftrik
clacar,clavar
anzicy,aznicy
uroflur,auroflur
canitrq,canitra
colmicare,clomicare
azihru,azibru
chemiclox,chemiflox
cqrdimax,cardimax
backfelx,backflex
clxd,clcd
eptifibagide,eptifibatide
celon,ceflon
farzid,carzid
astrrocef,astrocef
clozirh,clozith
corrocef,corocef
cnpra,cnpraz
colipzm,colipam
cortisohrt,cortishort
bresin,breslin
amisool,amisol
ceapod,crapod
anaffast,anafast
dasiln,daslin
clariceep,claricep
citwkn,citwin
cefiid,cefid
ciprootox,ciprotox
acttnim,actnim
camvizen,cambizen
botzimm,botzim
dycrefpat,dycreflat
blosavve,blosave
candigeeic,candigesic
azeps,axeps
aiglucon,aiflucon
csftirol,ceftirol
acedoa,acedoz
abtivon,antivon
indevimab,imdevimab
bettanat,betanat
casloran,casporan
naglotaz,anglotaz
cilvin,cilovin
acitblok,actiblok
biclmool,biclomol
wceton,aceton
bioyl,biogyl
azeid,azebid
wden,aden
coferd,cofred
buron,burin
bezjt,bezit
ambdodal,ambrodal
bioenem,biopenem
vanitross,canitross
niocit,biocit
caapion,capion
bificlv,bificlav
ztorday,atorday
arpid,arpidox
clardiox,claridox
apucris,apicris
aliximr,alixime
cifadiin,cifadin
xefaks,cefaks
achon,acgon
cimdroj,cimdron
aputus,apitus
alest,alext
clooxble,cloxble
zcnova,acnova
trazoone,trazodone
arqbe,arabe
cgpwn,cgpan
canxitz,canditz
argihkpe,argihope
aziibiotic,azibiotic
coufid,coufkid
abonnim,abonim
catchnevr,catchnerv
cyclorabb,cyclorab
aroka,aroma
henled,benled
aucflo,acuflo
ceptfflox,ceptflox
cnymera,chymera
claregr,clarger
cabex,canex
coxicre,coxicare
caeker,aceker
aslovit,aslocit
cphoden,cyphoden
alklina,alkalina
cacdi,caddi
bendot,bendit
antupres,antipres
bisohar,bisobar
cefeis,cefdis
chiyn,chiny
aranox,aramox
ditralka,citralka
blumsf,blumef
becamos,becamox
cityjky,cityjoy
brigth,bright
butlp,butop
cefdixib,cefdoxib
canvyye,canvye
coeaze,coease
cefuboold,cefubold
boossix,bossix
aittneflox,aitneflox
wzpraz,azpraz
qrixone,arixone
ccetros,cetros
cefijem,cefujem
angjcard,angicard
ampiccix,ampicix
amuir,amiur
azigy,azigyn
athoeerm,athoderm
cefirotop,cefurotop
cabaan,cabaxan
imodipine,nimodipine
anacev,anacef
adizdn,adizen
acloaet,acloset
dobrom,duobrom
celixkm,celixim
coqx,coax
cefubal,cefubak
carempn,caremon
cefafen,cetafen
domzzar,domzar
apivsa,apivas
cnaz,cunaz
cleark,clearkin
abbor,abnor
intaflux,cintaflux
amef,amsef
ccoszit,coszit
aalfranido,aaltranido
clavwwin,clavwin
cuutigard,cutigard
aeccloder,acecloder
credl,credliv
cobagwin,cobagain
crizotiniib,crizotinib
avofun,avifun
bbiozol,biozol
corparun,corparin
aocrtuss,acortuss
triamtereme,triamterene
apistorrm,apistorm
ebtamlo,betamlo
cfeclo,cefclo
dfmol,dcmol
zxdil,axdil
cytlmega,cytomega
aoxih,aoxin
actiho,acthio
cefaroon,cefaron
cefhm,cefum
bsla,bala
divlotal,diclotal
cunrolline,cubrolline
cefwis,cetwis
aaspod,aspod
clarihic,clarinic
alceclks,alceclos
alzyk,alzyl
cargel,chargel
acecilff,acecliff
amlogifg,amlogift
aitest,azitest
aedipld,aedipod
amiox,amimox
leflunomise,leflunomide
carbizoxx,carbizox
azatid,azarid
cirinoct,citinoct
acmetle,acmetel
azqrga,azarga
ceppown,cepown
bovos,bovose
cpomil,clomil
asgimyth,astimyth
chloformin,chlorformin
allito,allitose
almmethyl,almethyl
cloxilige,cloxilife
caamther,camther
defmex,cefmex
chlroodex,chlorodex
anatrll,anatrol
aloet,alocet
amrlfix,amrofix
vobamide,cobamide
cucmol,cufmol
vefico,cefico
beast,beats
anaert,anavert
cerl,cerol
annthro,anthro
ansicyp,anzicyp
camrok,camrik
acbenx,acbenz
alerc,alercy
benfoomec,benfomec
praziquntel,praziquantel
doldfab,coldfab
cinnaa,cinnaz
axtomont,astomont
baactoclav,bactoclav
caeoz,cadoz
belin,beolin
acberwell,caberwell
brossi,brossil
axytic,azytic
bronclezn,bronclean
colzib,colzin
pyridine,apyridine
cramcpure,crampcure
alrl,alril
ametlo,ametol
akrin,alrin
cyproett,cypronett
breler,brelet
coxxerin,coxerin
allersyyn,allersyn
xefixna,cefixna
cabona,calbona
altop,alitop
braxget,braxgest
alirk,alrik
botl,boto
bileoyx,bileoxy
darbasma,carbasma
canfoaz,canflaz
biogast,biofast
abofkam,aboflam
carbo,carbopa
ciclsoporin,ciclosporin
diammicron,diamicron
bialget,bilaget
aavailcef,availcef
arrnate,artnate
nactipime,bactipime
clopidix,clopidis
triprolixine,triprolidine
ceefest,cefest
cipysp,cipsyp
cepoded,cepodex
curaziip,curazip
bricahenz,brivahenz
deptan,depran
coftay,cofstay
clmozee,clomzee
bowelav,bowelac
citc,citcon
avidwzine,avidazine
btanam,betanam
prop,alprop
brotus,brotis
clariichest,clarichest
chlorwmit,chloramit
cerfican,certican
burex,bufex
cbro,acbro
fefikem,cefikem
citicad,citicas
cgtonac,cytonac
zmlotra,amlotra
fefpolac,cefpolac
arecronet,aredronet
biocol,biodol
llicip,bellicip
convdra,convera
crisscort,criscort
slluton,alluton
ocvil,covil
cifrackn,cifracin
scequit,acequit
maenor,amenor
qviglen,aviglen
colprxe,colprex
cdfisa,cefisa
azietz,azitez
cos,cons
amohrap,amograp
biionervs,bionervs
alidee,alides
aqrjoint,aarjoint
azihawo,azihawk
clsron,claron
clinross,clinrose
siamet,diamet
cetisid,cefisid
alkasik,alkasil
bbetayard,betayard
azitea,azitsa
amzlme,amzome
fefisuch,cefisuch
ppembrolizumab,pembrolizumab
iosin,biosin
bencifer,bendifer
chlorocepr,chlorocept
asfeb,asfen
amibbactin,amibactin
benzojn,benzoin
amjfree,amifree
aztbro,azthro
iclin,abiclin
wmidine,amidine
arsjpram,arsipram
vypoben,cypoben
destroten,destrogen
alothjum,alothium
aastopraz,astopraz
cecar,cedar
cefpdax,cefpodax
dgcar,cgcar
czoo,cozo
ricet,aricet
askaxef,askacef
aljvpiro,alivpiro
cefmosis,cefnosis
clobiia,clobia
acdleo,aceleo
cletud,cletus
accol,acicol
clis,colis
bidnav,bidnac
beenandr,beenandro
cdfjas,cefjas
cilkxin,ciloxin
alnabjn,alnabin
bigvvin,bigvin
aoxitica,amoxitica
axidtol,axidrol
doide,dolide
cefuna,cefunia
aizlac,azilac
carnezja,carnezia
actoecf,actocef
cefxl,cefxo
asidol,axidol
axpogesr,axpogest
asert,assert
dlaripan,claripan
astocav,astoclav
amlat,amalt
mikanit,amikanit
cainka,canika
audnac,aurnac
haybec,baybec
candicdush,candicrush
anzpian,anzipan
cgprolac,cyprolac
ridone,aridone
cwrnival,carnival
dhsport,dysport
marap,amrap
alidio,alidil
amlowokd,amlowood
crroquin,croquin
anfidil,angidil
cleam,clean
dutafats,dutafast
bemissol,bemisol
aertoher,aerother
dbliv,bdliv
cargpbid,cargobid
citslo,citalo
arnme,arnem
brioool,brikool
satomont,astomont
adbro,adbrom
mixon,amixon
axoonrich,axonrich
brorag,brorab
cilndia,cilindia
azithe,azitheo
bipcizz,biocizz
acebac,acebact
chhlorix,chlorix
xalio,calio
cyfloreg,cycloreg
comojst,comoist
pizotifeh,pizotifen
biaxee,biaxe
ativesic,atigesic
acesif,acesic
adtis,actis
coosupp,closupp
aquuamet,aquamet
sxipan,axipan
abipimr,abipime
bwormex,bewormex
zaesar,azesar
aocef,asocef
cupromaxx,cipromaxx
avidlex,acidlex
amibjr,amibur
anveocare,angeocare
etifylline,etofylline
cikarite,cilarite
venbar,benbar
sedicin,aedicin
cetjil,cetkil
alpelidib,alpelisib
cefpjet,cefpojet
riom,ariom
axedo,axedro
bsstnac,bestnac
avobj,avobi
cepzoi,cepzoo
andorax,anxorax
cteze,ceteze
atroipne,atropine
alaqui,alaquin
vortistan,cortistan
avusox,avudox
covalentt,covalent
aortropium,airtropium
daccloose,dacloose
xitobren,citobren
cticard,citcard
tenoxicaj,tenoxicam
cypomofe,cypomore
crmed,cemed
climexit,clomexit
bepajt,bepant
ambdotec,ambrotec
appetkxer,appetixer
bnmix,bonmix
omol,biomol
collncit,colncit
aom,avom
benzonad,benzonac
carmhther,carmuther
ckouse,clouse
azzultac,azultac
cytospaas,cytospas
vorrioxetine,vortioxetine
alorkc,aloric
areccef,arexcef
azelaztine,azelastine
canzob,canzorb
avunkx,avunox
cutocort,cuticort
axytim,axytum
cipkin,cipmin
bronzajox,bronzamox
cenados,cenadox
alfaviin,alfavin
ofloxacij,ofloxacin
androparin,nadroparin
wpilysin,apilysin
colvibra,colcibra
zmclo,amclo
clavaczre,clavacare
cefadeen,cefaden
ajcool,ancool
cohtradoc,contradoc
conphoroi,conphorio
cetapod,cefapod
ilactam,bilactam
cefpkgle,cefpogle
curirabb,curirab
andulign,andulgin
xoaliplatin,oxaliplatin
apssonim,apsonim
anicolc,anicold
zzitas,azitas
asthaven,asthavent
acden,aceden
csrvclear,cervclear
amtrot,amgrot
azknoel,azinoel
hdyroxyzine,hydroxyzine
azjzom,azizom
letop,celetop
lbockuf,blockuf
biottor,biotor
ceffad,cefad
ammomed,amomed
antyixty,antyxity
dilriact,diltiact
asitaf,asitac
qnitro,anitro
cihvert,cinvert
qnburn,anburn
abrodyk,abrodyl
ceeitinib,ceritinib
aceca,aceva
cefcoo,cefco
coldyycid,coldycid
adacwl,adacel
amitrhplin,amitryplin
amlokso,amlokos
cardimonn,cardimon
azihn,azihin
adinaa,adina
amoxyjte,amoxyjet
akzocin,alzocin
lciff,cliff
papaveeine,papaverine
sdvomont,advomont
amiaay,amiway
bactjn,bactin
asucrpse,asucrose
slbela,albela
casoonex,casponex
agwclin,ageclin
biominc,biominic
brlrab,brorab
fefobiz,cefobiz
asbteos,asbetos
adabof,adabor
sipwell,dipwell
helol,belol
iclnapa,cilnapa
chhmograce,chymograce
acekypr,acekyor
atrzen,artzen
apijill,apihill
imol,arimol
ajadu,ajaduo
rciszir,criszir
qmpisyn,ampisyn
szibit,azibit
dardipin,cardipin
cleegra,celegra
caanroz,canroz
artniol,artinol
zaavio,azavio
alprol,alprolax
cefdkna,cefdina
aceppam,acepam
clavlon,clavlin
apligf,apliff
catharn,catharnec
vodox,codox
amixaba,amicaba
atormmex,atormex
cillon,cillin
clnafix,clanfix
zeldolo,aeldolo
altamoc,altamox
bifsoa,bifosa
cefmzgic,cefmagic
cobium,clobium
cefproxio,cefproxil
aceos,aceros
cettifar,cetifar
allpurinol,allopurinol
aflevo,adlevo
sxyrin,axyrin
aconrex,aconred
cefucan,cefudan
conpiraz,conipraz
chympzip,chymozip
agflo,avflo
zumin,azumin
asromycine,astomycine
barcio,barcip
etofyllkne,etofylline
acupen,acupenem
azrh,azth
anebact,amebact
barlfol,barofol
arrhin,arthin
astiddom,astidom
anaehil,anashil
aurrcin,aurcin
corax,cotax
arlic,arloc
arrip,artip
mabrocon,ambrocon
arom,ariom
apinolox,apinoflox
ceguture,cefuture
caladenne,caladene
bbrmef,brmef
cyprpz,cyproz
cafag,cafage
coxiti,coxitif
cypmzrk,cypmark
angosart,angiosart
azizlm,azizom
lcivarine,clivarine
micojazole,miconazole
btein,betin
aldazol,aldazole
paiza,apiza
cetilo,acetilo
cyrin,cytin
rtrodar,artrodar
artrinib,adtrinib
carinrich,carnirich
alaktop,alkatop
cheritp,cheritop
begaround,betaround
cetmnote,cetmonte
brcodryl,becodryl
azteel,aztel
trador,citrador
ximdrox,cimdrox
agillin,avillin
arain,arsin
clonapey,clonapsy
betakacij,betakacin
dolorride,doloride
clavirur,clavidur
alfwrd,alferd
brytex,brutex
actizec,actized
chloramphenciol,chloramphenicol
cefoaer,cefoser
amdirom,amdiron
acuco,acucob
adild,adilid
colbeetin,colbestin
azithroj,azithron
colxibb,colxib
auglufe,auglife
arthce,arthace
xiprolone,ciprolone
ampipe,ampipen
cepttopan,ceptopan
biskut,biskit
cdfest,cefest
cercure,cetcure
zctafur,actafur
lbeflox,bleflox
aziminee,azimine
xlozol,clozol
azadrhl,azadryl
bteal,betal
cinotix,cinotis
ccoxivir,coxivir
champioen,champione
ocon,brocon
clinxitop,clincitop
cprtway,cortway
bacclomac,baclomac
dubacafe,dubacare
betaung,betasung
betaxoolol,betaxolol
erebrocip,cerebrocip
clmapose,clampose
asotin,asoftin
almecin,almectin
sccef,accef
atroxun,atrosun
xloder,cloder
artilp,artilup
coxigoo,coxigo
briimosoft,brimosoft
atfyp,atryp
argel,adgel
cifraj,cifran
ssque,asque
caevas,cadvas
afwdo,afado
citine,citinex
doolofresh,dolofresh
cwllusoothe,cellusoothe
colipn,colion
aslone,azlone
acihalg,acihalt
abmcet,ambcet
qcedol,acedol
ano,afno
alagrac,alagraf
affopridd,affopride
cyeprin,cyperin
chymimax,chymomax
calcieon,calciron
buepitor,buspitor
acyclovi,acyclovir
azilaveend,azilavend
bdnzb,bdnab
atlagda,atlagra
wlenvox,alenvox
cpiclav,cipclav
adhmont,ashmont
alfn,alfin
dragoj,dragon
asitel,aditel
alzyll,alzyl
ambrlnic,ambronic
